customerFinder.contact.PartyContactMech,demo
partyId,contactMechId,contactMechPurposeId,fromDate,thruDate
partyId,contactMechId,contactMechPurposeId,fromDate,thruDate
P1,CM1,GeneralEmail,2023-01-07T00:00:00,2024-01-04T00:00:00
P2,CM2,PhoneHome,2022-09-18T00:00:00,
P3,CM3,PostalHome,2023-04-04T00:00:00,2023-08-11T00:00:00
P4,CM4,PhoneWork,2022-06-03T00:00:00,2023-03-01T00:00:00
P5,CM5,PostalWork,2022-12-01T00:00:00,
P6,CM6,GeneralEmail,2022-04-23T00:00:00,2023-02-15T00:00:00
P7,CM7,PhoneHome,2023-08-18T00:00:00,
P8,CM8,PostalHome,2022-10-19T00:00:00,2023-09-21T00:00:00
P9,CM9,PhoneWork,2023-03-09T00:00:00,2023-11-23T00:00:00
P10,CM10,PostalWork,2022-02-12T00:00:00,
P11,CM11,PhoneWork,2023-10-30T19:00:00,
P12,CM12,PostalWork,2023-10-30T19:00:00,2024-10-30T19:00:00
P13,CM13,GeneralEmail,2023-01-01T08:00:00,2024-01-01T08:00:00
P14,CM14,PhoneHome,2023-10-30T19:00:00,
P15,CM15,PostalHome,2023-10-30T19:00:00,2024-10-30T19:00:00
P16,CM16,GeneralEmail,2023-01-01T08:00:00,2024-01-01T08:00:00
P17,CM17,PhoneWork,2023-10-30T19:00:00,
P18,CM18,PostalWork,2023-10-30T19:00:00,2024-10-30T19:00:00
P19,CM19,GeneralEmail,2023-01-01T08:00:00,2024-01-01T08:00:00
P20,CM20,PhoneHome,2023-10-30T19:00:00,
P21,CM21,PostalHome,2023-10-30T19:00:00,2024-10-30T19:00:00
P22,CM22,GeneralEmail,2023-01-01T08:00:00,2024-01-01T08:00:00
P23,CM23,PhoneWork,2023-10-30T19:00:00,
P24,CM24,PostalWork,2023-10-30T19:00:00,2024-10-30T19:00:00
P25,CM25,GeneralEmail,2023-01-01T08:00:00,2024-01-01T08:00:00
P26,CM26,PhoneHome,2023-10-30T19:00:00,
P27,CM27,PostalHome,2023-10-30T19:00:00,2024-10-30T19:00:00
P28,CM28,GeneralEmail,2023-01-01T08:00:00,2024-01-01T08:00:00
P29,CM29,PhoneWork,2023-10-30T19:00:00,
P30,CM30,PostalWork,2023-10-30T19:00:00,2024-10-30T19:00:00
P31,CM31,GeneralEmail,2023-01-01T08:00:00,2024-01-01T08:00:00
P32,CM32,PhoneHome,2023-10-30T19:00:00,
P33,CM33,PostalHome,2023-10-30T19:00:00,2024-10-30T19:00:00
P34,CM34,GeneralEmail,2023-01-01T08:00:00,2024-01-01T08:00:00
P35,CM35,PhoneWork,2023-10-30T19:00:00,
P36,CM36,PostalWork,2023-10-30T19:00:00,2024-10-30T19:00:00
P37,CM37,GeneralEmail,2023-01-01T08:00:00,2024-01-01T08:00:00
P38,CM38,PhoneHome,2023-10-30T19:00:00,
P39,CM39,PostalHome,2023-10-30T19:00:00,2024-10-30T19:00:00
P40,CM40,GeneralEmail,2023-01-01T08:00:00,2024-01-01T08:00:00
P41,CM41,PhoneWork,2023-10-30T19:00:00,
P42,CM42,PostalWork,2023-10-30T19:00:00,2024-10-30T19:00:00
P43,CM43,GeneralEmail,2023-01-01T08:00:00,2024-01-01T08:00:00
P44,CM44,PhoneHome,2023-10-30T19:00:00,
P45,CM45,PostalHome,2023-10-30T19:00:00,2024-10-30T19:00:00
P46,CM46,GeneralEmail,2023-01-01T08:00:00,2024-01-01T08:00:00
P47,CM47,PhoneWork,2023-10-30T19:00:00,
P48,CM48,PostalWork,2023-10-30T19:00:00,2024-10-30T19:00:00
P49,CM49,GeneralEmail,2023-01-01T08:00:00,2024-01-01T08:00:00
P50,CM50,PhoneHome,2023-10-30T19:00:00,
